,Luni - Vineri,Sambata,Duminica
0,5:50,6:00,6:00
1,6:06,6:16,6:16
2,6:22,6:32,6:32
3,6:29,6:48,6:48
4,6:36,6:56,6:56
5,6:44,7:04,7:04
6,6:52,7:12,7:12
7,7:00,7:20,7:20
8,7:08,7:28,7:28
9,7:16,7:36,7:36
10,7:24,7:44,7:44
11,7:32,7:52,7:52
12,7:40,8:00,8:00
13,7:48,8:08,8:08
14,7:55,8:16,8:16
15,8:02,8:24,8:24
16,8:10,8:32,8:32
17,8:18,8:40,8:40
18,8:26,8:48,8:48
19,8:34,8:56,8:56
20,8:42,9:04,9:04
21,8:50,9:12,9:12
22,8:58,9:20,9:20
23,9:06,9:31,9:31
24,9:14,9:39,9:39
25,9:21,9:47,9:47
26,9:28,9:58,9:58
27,9:36,10:13,10:13
28,9:46,10:29,10:29
29,10:01,10:45,10:45
30,10:16,11:01,11:01
31,10:30,11:17,11:17
32,10:43,11:33,11:33
33,10:57,11:49,11:49
34,11:10,12:01,12:01
35,11:24,12:10,12:10
36,11:37,12:19,12:19
37,11:47,12:27,12:27
38,11:57,12:36,12:36
39,12:07,12:44,12:44
40,12:16,12:53,12:53
41,12:25,13:01,13:01
42,12:35,13:10,13:10
43,12:44,13:18,13:18
44,12:53,13:27,13:27
45,13:03,13:36,13:36
46,13:13,13:45,13:45
47,13:23,13:53,13:53
48,13:33,14:02,14:02
49,13:42,14:10,14:10
50,13:51,14:19,14:19
51,14:01,14:27,14:27
52,14:10,14:36,14:36
53,14:19,14:44,14:44
54,14:31,14:53,14:53
55,14:41,15:02,15:02
56,14:50,15:11,15:11
57,15:00,15:19,15:19
58,15:17,15:28,15:28
59,15:32,15:36,15:36
60,15:48,15:53,15:53
61,16:01,16:10,16:10
62,16:11,16:28,16:28
63,16:20,16:36,16:36
64,16:28,16:45,16:45
65,16:36,16:54,16:54
66,16:45,17:02,17:02
67,16:53,17:11,17:11
68,17:01,17:19,17:19
69,17:09,17:28,17:28
70,17:17,17:36,17:36
71,17:25,17:45,17:45
72,17:33,17:54,17:54
73,17:41,18:02,18:02
74,17:50,18:11,18:11
75,17:58,18:20,18:20
76,18:06,18:28,18:28
77,18:15,18:37,18:37
78,18:23,18:45,18:45
79,18:31,18:55,18:55
80,18:39,19:11,19:11
81,18:55,19:26,19:26
82,19:11,19:37,19:37
83,19:26,19:48,19:48
84,19:42,19:58,19:58
85,20:00,20:13,20:13
86,20:17,20:28,20:28
87,20:33,20:43,20:43
88,20:49,20:59,20:59
89,21:04,21:15,21:15
90,21:20,21:31,21:31
91,21:36,21:47,21:47
92,21:52,22:02,22:02
93,22:08,22:18,22:18
94,22:23,22:34,22:34
95,22:39,,
