,Luni - Vineri,Sambata,Duminica
0,5:45,6:02,6:02
1,5:59,6:16,6:16
2,6:13,6:30,6:30
3,6:26,6:44,6:44
4,6:38,6:51,6:51
5,6:45,6:58,6:58
6,6:51,7:05,7:05
7,6:55,7:12,7:12
8,7:00,7:19,7:19
9,7:04,7:26,7:26
10,7:08,7:37,7:37
11,7:12,7:44,7:44
12,7:16,7:52,7:52
13,7:20,7:57,7:57
14,7:24,8:02,8:02
15,7:28,8:07,8:07
16,7:32,8:12,8:12
17,7:37,8:18,8:18
18,7:42,8:23,8:23
19,7:47,8:28,8:28
20,7:52,8:33,8:33
21,7:56,8:39,8:39
22,8:00,8:44,8:44
23,8:04,8:49,8:49
24,8:08,8:54,8:54
25,8:12,9:00,9:00
26,8:16,9:05,9:05
27,8:21,9:12,9:12
28,8:26,9:17,9:17
29,8:31,9:22,9:22
30,8:35,9:28,9:28
31,8:39,9:34,9:34
32,8:43,9:39,9:39
33,8:47,9:45,9:45
34,8:51,9:50,9:50
35,8:55,9:55,9:55
36,8:59,10:04,10:04
37,9:03,10:13,10:13
38,9:08,10:24,10:24
39,9:13,10:34,10:34
40,9:18,10:43,10:43
41,9:23,10:51,10:51
42,9:27,10:59,10:59
43,9:31,11:08,11:08
44,9:35,11:19,11:19
45,9:41,11:30,11:30
46,9:48,11:40,11:40
47,9:55,11:50,11:50
48,10:02,11:57,11:57
49,10:08,12:03,12:03
50,10:15,12:08,12:08
51,10:22,12:14,12:14
52,10:30,12:20,12:20
53,10:40,12:25,12:25
54,10:51,12:31,12:31
55,11:02,12:37,12:37
56,11:13,12:43,12:43
57,11:19,12:48,12:48
58,11:25,12:54,12:54
59,11:31,12:59,12:59
60,11:37,13:05,13:05
61,11:43,13:11,13:11
62,11:49,13:17,13:17
63,11:55,13:22,13:22
64,12:01,13:28,13:28
65,12:06,13:34,13:34
66,12:11,13:39,13:39
67,12:17,13:45,13:45
68,12:22,13:50,13:50
69,12:27,13:56,13:56
70,12:33,14:02,14:02
71,12:39,14:08,14:08
72,12:44,14:14,14:14
73,12:50,14:19,14:19
74,12:56,14:25,14:25
75,13:02,14:30,14:30
76,13:08,14:36,14:36
77,13:14,14:42,14:42
78,13:20,14:48,14:48
79,13:26,14:53,14:53
80,13:32,15:03,15:03
81,13:37,15:10,15:10
82,13:42,15:21,15:21
83,13:48,15:29,15:29
84,13:53,15:39,15:39
85,13:58,15:44,15:44
86,14:04,15:50,15:50
87,14:10,16:01,16:01
88,14:16,16:11,16:11
89,14:22,16:19,16:19
90,14:28,16:24,16:24
91,14:36,16:30,16:30
92,14:42,16:35,16:35
93,14:48,16:41,16:41
94,14:54,16:47,16:47
95,15:00,16:52,16:52
96,15:07,16:58,16:58
97,15:17,17:04,17:04
98,15:30,17:10,17:10
99,15:42,17:15,17:15
100,15:54,17:21,17:21
101,16:01,17:27,17:27
102,16:08,17:32,17:32
103,16:14,17:38,17:38
104,16:21,17:44,17:44
105,16:27,17:50,17:50
106,16:31,17:55,17:55
107,16:36,18:01,18:01
108,16:40,18:06,18:06
109,16:45,18:12,18:12
110,16:50,18:19,18:19
111,16:54,18:27,18:27
112,16:58,18:34,18:34
113,17:03,18:40,18:40
114,17:08,18:46,18:46
115,17:12,18:52,18:52
116,17:17,18:58,18:58
117,17:21,19:07,19:07
118,17:26,19:21,19:21
119,17:31,19:35,19:35
120,17:36,19:50,19:50
121,17:41,20:06,20:06
122,17:46,20:17,20:17
123,17:51,20:33,20:33
124,17:56,20:46,20:46
125,18:00,20:59,20:59
126,18:05,21:13,21:13
127,18:09,21:26,21:26
128,18:14,21:39,21:39
129,18:18,21:53,21:53
130,18:23,22:06,22:06
131,18:28,22:19,22:19
132,18:32,22:33,22:33
133,18:36,22:46,22:46
134,18:42,22:59,22:59
135,18:48,23:18,23:18
136,18:54,23:38,23:38
137,19:00,23:58,23:58
138,19:06,,
139,19:14,,
140,19:24,,
141,19:36,,
142,19:47,,
143,20:05,,
144,20:18,,
145,20:28,,
146,20:38,,
147,20:48,,
148,20:58,,
149,21:08,,
150,21:18,,
151,21:28,,
152,21:38,,
153,21:48,,
154,21:58,,
155,22:08,,
156,22:18,,
157,22:28,,
158,22:38,,
159,22:48,,
160,22:58,,
161,23:08,,
162,23:18,,
163,23:38,,
164,23:58,,
