,Luni - Vineri,Sambata,Duminica
0,6:11,6:40,6:40
1,6:41,7:42,7:42
2,7:10,8:14,8:14
3,7:28,8:45,8:45
4,7:38,9:17,9:17
5,7:48,10:27,10:27
6,8:03,11:00,11:00
7,8:23,11:33,11:33
8,8:47,12:07,12:07
9,9:05,12:40,12:40
10,9:20,13:13,13:13
11,9:44,13:47,13:47
12,10:19,14:20,14:20
13,11:09,14:53,14:53
14,11:34,15:27,15:27
15,12:00,16:33,16:33
16,12:25,17:07,17:07
17,12:50,17:40,17:40
18,13:15,18:13,18:13
19,13:41,18:47,18:47
20,14:06,19:20,19:20
21,14:33,20:25,20:25
22,14:58,21:15,21:15
23,15:25,,
24,15:42,,
25,16:00,,
26,16:18,,
27,16:36,,
28,16:53,,
29,17:11,,
30,17:28,,
31,17:46,,
32,18:04,,
33,18:22,,
34,18:39,,
35,19:17,,
36,20:01,,
37,20:46,,
38,21:30,,
