,Luni - Vineri,Sambata,Duminica
0,5:52,6:02,6:02
1,6:05,6:16,6:16
2,6:18,6:30,6:30
3,6:26,6:44,6:44
4,6:30,6:55,6:55
5,6:34,7:02,7:02
6,6:38,7:10,7:10
7,6:42,7:15,7:15
8,6:46,7:20,7:20
9,6:51,7:25,7:25
10,6:56,7:30,7:30
11,7:01,7:36,7:36
12,7:06,7:41,7:41
13,7:10,7:46,7:46
14,7:14,7:51,7:51
15,7:18,7:57,7:57
16,7:22,8:02,8:02
17,7:26,8:07,8:07
18,7:30,8:12,8:12
19,7:35,8:18,8:18
20,7:40,8:23,8:23
21,7:45,8:28,8:28
22,7:49,8:33,8:33
23,7:53,8:38,8:38
24,7:57,8:44,8:44
25,8:01,8:48,8:48
26,8:05,8:53,8:53
27,8:09,8:59,8:59
28,8:13,9:04,9:04
29,8:17,9:09,9:09
30,8:22,9:18,9:18
31,8:27,9:27,9:27
32,8:32,9:38,9:38
33,8:37,9:48,9:48
34,8:41,9:57,9:57
35,8:45,10:05,10:05
36,8:49,10:13,10:13
37,8:55,10:22,10:22
38,9:02,10:33,10:33
39,9:09,10:44,10:44
40,9:16,10:54,10:54
41,9:22,11:04,11:04
42,9:29,11:11,11:11
43,9:36,11:17,11:17
44,9:44,11:22,11:22
45,9:54,11:28,11:28
46,10:05,11:34,11:34
47,10:16,11:39,11:39
48,10:27,11:45,11:45
49,10:33,11:51,11:51
50,10:39,11:57,11:57
51,10:45,12:02,12:02
52,10:51,12:08,12:08
53,10:57,12:13,12:13
54,11:03,12:19,12:19
55,11:09,12:25,12:25
56,11:15,12:31,12:31
57,11:20,12:36,12:36
58,11:25,12:42,12:42
59,11:31,12:48,12:48
60,11:36,12:53,12:53
61,11:41,12:59,12:59
62,11:47,13:04,13:04
63,11:53,13:10,13:10
64,11:58,13:16,13:16
65,12:04,13:22,13:22
66,12:10,13:28,13:28
67,12:16,13:33,13:33
68,12:22,13:39,13:39
69,12:28,13:44,13:44
70,12:34,13:50,13:50
71,12:40,13:56,13:56
72,12:46,14:02,14:02
73,12:51,14:07,14:07
74,12:56,14:17,14:17
75,13:02,14:24,14:24
76,13:07,14:35,14:35
77,13:12,14:43,14:43
78,13:18,14:53,14:53
79,13:24,14:58,14:58
80,13:29,15:04,15:04
81,13:35,15:15,15:15
82,13:41,15:25,15:25
83,13:47,15:33,15:33
84,13:53,15:38,15:38
85,13:59,15:44,15:44
86,14:05,15:49,15:49
87,14:11,15:55,15:55
88,14:18,16:01,16:01
89,14:28,16:06,16:06
90,14:41,16:12,16:12
91,14:53,16:18,16:18
92,15:05,16:24,16:24
93,15:12,16:29,16:29
94,15:19,16:35,16:35
95,15:25,16:41,16:41
96,15:32,16:46,16:46
97,15:38,16:52,16:52
98,15:42,16:58,16:58
99,15:47,17:04,17:04
100,15:51,17:09,17:09
101,15:56,17:15,17:15
102,16:01,17:20,17:20
103,16:05,17:26,17:26
104,16:09,17:33,17:33
105,16:14,17:41,17:41
106,16:19,17:48,17:48
107,16:23,17:54,17:54
108,16:28,18:00,18:00
109,16:32,18:06,18:06
110,16:37,18:12,18:12
111,16:42,18:21,18:21
112,16:47,18:35,18:35
113,16:52,18:49,18:49
114,16:57,19:04,19:04
115,17:02,19:20,19:20
116,17:07,19:36,19:36
117,17:11,19:52,19:52
118,17:16,20:05,20:05
119,17:20,20:18,20:18
120,17:25,20:32,20:32
121,17:29,20:45,20:45
122,17:34,20:58,20:58
123,17:39,21:12,21:12
124,17:43,21:25,21:25
125,17:47,21:38,21:38
126,17:53,21:52,21:52
127,17:59,22:05,22:05
128,18:05,22:18,22:18
129,18:11,22:37,22:37
130,18:17,22:57,22:57
131,18:25,23:17,23:17
132,18:35,23:37,23:37
133,18:47,23:57,23:57
134,19:01,,
135,19:16,,
136,19:32,,
137,19:45,,
138,19:57,,
139,20:07,,
140,20:17,,
141,20:27,,
142,20:37,,
143,20:47,,
144,20:57,,
145,21:07,,
146,21:17,,
147,21:27,,
148,21:37,,
149,21:47,,
150,21:57,,
151,22:07,,
152,22:17,,
153,22:27,,
154,22:37,,
155,22:57,,
156,23:17,,
157,23:37,,
158,23:57,,
