,Luni - Vineri,Sambata,Duminica
0,6:03,6:48,6:48
1,6:27,7:16,7:16
2,6:50,7:45,7:45
3,7:14,8:14,8:14
4,7:38,8:42,8:42
5,8:02,9:11,9:11
6,8:25,9:41,9:41
7,8:49,10:39,10:39
8,9:13,11:08,11:08
9,9:37,12:07,12:07
10,10:37,12:36,12:36
11,11:24,13:06,13:06
12,12:12,13:35,13:35
13,12:59,14:34,14:34
14,13:47,15:04,15:04
15,14:34,16:03,16:03
16,15:23,16:32,16:32
17,15:48,17:02,17:02
18,16:13,17:31,17:31
19,16:38,18:00,18:00
20,17:02,18:30,18:30
21,17:27,18:59,18:59
22,17:52,,
23,18:17,,
24,18:41,,
25,19:06,,
26,19:56,,
27,20:18,,
28,21:00,,
29,21:42,,
30,22:24,,
