,Luni - Vineri,Sambata,Duminica
0,5:48,6:08,6:08
1,6:02,6:24,6:24
2,6:16,6:39,6:39
3,6:28,6:54,6:54
4,6:40,7:02,7:02
5,6:46,7:10,7:10
6,6:52,7:17,7:17
7,6:58,7:25,7:25
8,7:04,7:32,7:32
9,7:10,7:40,7:40
10,7:15,7:48,7:48
11,7:20,7:55,7:55
12,7:26,8:03,8:03
13,7:32,8:11,8:11
14,7:38,8:18,8:18
15,7:44,8:26,8:26
16,7:50,8:34,8:34
17,7:56,8:41,8:41
18,8:02,8:49,8:49
19,8:08,8:57,8:57
20,8:13,9:04,9:04
21,8:18,9:12,9:12
22,8:24,9:19,9:19
23,8:30,9:27,9:27
24,8:36,9:36,9:36
25,8:42,9:43,9:43
26,8:48,9:53,9:53
27,8:54,10:08,10:08
28,9:00,10:23,10:23
29,9:06,10:38,10:38
30,9:11,10:53,10:53
31,9:16,11:04,11:04
32,9:22,11:16,11:16
33,9:28,11:26,11:26
34,9:36,11:36,11:36
35,9:46,11:49,11:49
36,9:56,11:58,11:58
37,10:05,12:05,12:05
38,10:14,12:13,12:13
39,10:24,12:21,12:21
40,10:34,12:29,12:29
41,10:46,12:37,12:37
42,10:58,12:45,12:45
43,11:08,12:53,12:53
44,11:15,13:01,13:01
45,11:23,13:09,13:09
46,11:30,13:17,13:17
47,11:37,13:25,13:25
48,11:44,13:33,13:33
49,11:51,13:41,13:41
50,11:58,13:49,13:49
51,12:06,13:56,13:56
52,12:14,14:04,14:04
53,12:21,14:12,14:12
54,12:28,14:20,14:20
55,12:35,14:28,14:28
56,12:42,14:36,14:36
57,12:49,14:44,14:44
58,12:57,14:52,14:52
59,13:04,15:00,15:00
60,13:11,15:16,15:16
61,13:19,15:24,15:24
62,13:26,15:32,15:32
63,13:33,15:47,15:47
64,13:40,16:03,16:03
65,13:47,16:11,16:11
66,13:54,16:19,16:19
67,14:02,16:27,16:27
68,14:10,16:35,16:35
69,14:19,16:43,16:43
70,14:33,16:51,16:51
71,14:45,16:59,16:59
72,14:55,17:07,17:07
73,15:09,17:15,17:15
74,15:24,17:23,17:23
75,15:38,17:31,17:31
76,15:46,17:38,17:38
77,15:53,17:46,17:46
78,15:59,17:54,17:54
79,16:05,18:02,18:02
80,16:11,18:10,18:10
81,16:17,18:18,18:18
82,16:23,18:36,18:36
83,16:29,18:50,18:50
84,16:35,19:04,19:04
85,16:41,19:14,19:14
86,16:47,19:23,19:23
87,16:54,19:33,19:33
88,17:00,19:50,19:50
89,17:07,20:08,20:08
90,17:13,20:26,20:26
91,17:19,20:43,20:43
92,17:26,21:01,21:01
93,17:32,21:18,21:18
94,17:39,21:36,21:36
95,17:46,21:54,21:54
96,17:53,22:11,22:11
97,17:59,22:28,22:28
98,18:05,,
99,18:11,,
100,18:17,,
101,18:23,,
102,18:29,,
103,18:35,,
104,18:41,,
105,18:49,,
106,19:00,,
107,19:11,,
108,19:21,,
109,19:32,,
110,19:45,,
111,19:59,,
112,20:13,,
113,20:26,,
114,20:39,,
115,20:52,,
116,21:05,,
117,21:18,,
118,21:31,,
119,21:44,,
120,21:58,,
121,22:11,,
122,22:24,,
