,Luni - Vineri,Sambata,Duminica
0,6:13,6:50,6:50
1,6:27,7:16,7:16
2,6:43,7:30,7:30
3,6:59,7:43,7:43
4,7:15,7:56,7:56
5,7:23,8:09,8:09
6,7:31,8:22,8:22
7,7:39,8:35,8:35
8,7:46,8:49,8:49
9,7:53,9:02,9:02
10,8:01,9:17,9:17
11,8:09,9:30,9:30
12,8:17,9:46,9:46
13,8:25,10:13,10:13
14,8:33,10:42,10:42
15,8:41,10:56,10:56
16,8:49,11:10,11:10
17,8:57,11:24,11:24
18,9:05,11:52,11:52
19,9:12,12:21,12:21
20,9:19,12:35,12:35
21,9:27,12:49,12:49
22,9:35,13:03,13:03
23,9:43,13:17,13:17
24,9:59,13:31,13:31
25,10:15,13:46,13:46
26,10:23,14:00,14:00
27,10:38,14:14,14:14
28,10:53,14:28,14:28
29,11:09,14:56,14:56
30,11:22,15:25,15:25
31,11:46,15:39,15:39
32,12:10,15:53,15:53
33,12:35,16:07,16:07
34,12:48,16:36,16:36
35,13:00,17:04,17:04
36,13:12,17:18,17:18
37,13:24,17:32,17:32
38,13:36,17:46,17:46
39,13:48,18:01,18:01
40,14:01,18:15,18:15
41,14:15,18:29,18:29
42,14:28,18:43,18:43
43,14:40,18:57,18:57
44,14:52,19:11,19:11
45,15:05,19:26,19:26
46,15:18,19:40,19:40
47,15:32,20:08,20:08
48,15:40,,
49,15:56,,
50,16:12,,
51,16:20,,
52,16:28,,
53,16:36,,
54,16:44,,
55,16:52,,
56,17:00,,
57,17:09,,
58,17:18,,
59,17:26,,
60,17:35,,
61,17:43,,
62,17:51,,
63,17:59,,
64,18:07,,
65,18:15,,
66,18:23,,
67,18:31,,
68,18:40,,
69,18:49,,
70,18:57,,
71,19:06,,
72,19:14,,
73,19:30,,
74,19:46,,
75,20:02,,
76,20:17,,
77,20:31,,
