,Luni - Vineri,Sambata,Duminica
0,6:11,7:05,7:05
1,6:48,7:43,7:43
2,7:23,8:15,8:15
3,7:43,8:38,8:38
4,8:02,9:01,9:01
5,8:37,9:25,9:25
6,9:02,9:50,9:50
7,9:28,10:14,10:14
8,10:18,11:04,11:04
9,10:43,11:29,11:29
10,11:21,12:18,12:18
11,11:59,12:43,12:43
12,12:37,13:08,13:08
13,13:15,13:32,13:32
14,13:53,13:57,13:57
15,14:31,14:22,14:22
16,15:09,14:46,14:46
17,15:47,15:11,15:11
18,16:25,15:36,15:36
19,16:50,16:00,16:00
20,17:15,16:25,16:25
21,17:41,17:14,17:14
22,18:06,17:39,17:39
23,18:31,18:04,18:04
24,19:22,18:28,18:28
25,19:47,19:18,19:18
26,20:24,19:42,19:42
27,20:57,20:18,20:18
28,21:31,20:52,20:52
