,Luni - Vineri,Sambata,Duminica
0,5:44,6:02,6:02
1,5:56,6:18,6:18
2,6:08,6:33,6:33
3,6:19,6:48,6:48
4,6:30,6:56,6:56
5,6:42,7:03,7:03
6,6:48,7:11,7:11
7,6:54,7:19,7:19
8,7:00,7:26,7:26
9,7:06,7:34,7:34
10,7:12,7:42,7:42
11,7:17,7:49,7:49
12,7:22,7:57,7:57
13,7:28,8:05,8:05
14,7:34,8:12,8:12
15,7:40,8:20,8:20
16,7:46,8:27,8:27
17,7:52,8:35,8:35
18,7:58,8:43,8:43
19,8:04,8:50,8:50
20,8:10,9:00,9:00
21,8:15,9:15,9:15
22,8:20,9:30,9:30
23,8:26,9:45,9:45
24,8:32,10:00,10:00
25,8:40,10:11,10:11
26,8:50,10:23,10:23
27,9:00,10:33,10:33
28,9:09,10:43,10:43
29,9:18,10:56,10:56
30,9:28,11:05,11:05
31,9:38,11:12,11:12
32,9:50,11:20,11:20
33,10:02,11:28,11:28
34,10:12,11:36,11:36
35,10:19,11:44,11:44
36,10:27,11:52,11:52
37,10:34,12:00,12:00
38,10:41,12:08,12:08
39,10:48,12:16,12:16
40,10:55,12:24,12:24
41,11:02,12:32,12:32
42,11:10,12:40,12:40
43,11:18,12:48,12:48
44,11:25,12:56,12:56
45,11:32,13:03,13:03
46,11:39,13:11,13:11
47,11:46,13:19,13:19
48,11:53,13:27,13:27
49,12:01,13:35,13:35
50,12:08,13:43,13:43
51,12:15,13:51,13:51
52,12:23,13:59,13:59
53,12:30,14:07,14:07
54,12:37,14:23,14:23
55,12:44,14:31,14:31
56,12:51,14:39,14:39
57,12:58,14:54,14:54
58,13:06,15:10,15:10
59,13:14,15:18,15:18
60,13:23,15:26,15:26
61,13:35,15:34,15:34
62,13:47,15:42,15:42
63,13:57,15:50,15:50
64,14:11,15:58,15:58
65,14:26,16:06,16:06
66,14:40,16:14,16:14
67,14:48,16:22,16:22
68,14:55,16:30,16:30
69,15:01,16:38,16:38
70,15:07,16:45,16:45
71,15:13,16:53,16:53
72,15:19,17:01,17:01
73,15:25,17:09,17:09
74,15:31,17:17,17:17
75,15:37,17:25,17:25
76,15:43,17:43,17:43
77,15:49,17:57,17:57
78,15:56,18:11,18:11
79,16:02,18:21,18:21
80,16:09,18:30,18:30
81,16:15,18:40,18:40
82,16:21,18:57,18:57
83,16:28,19:15,19:15
84,16:34,19:34,19:34
85,16:41,19:53,19:53
86,16:48,20:12,20:12
87,16:55,20:29,20:29
88,17:01,20:47,20:47
89,17:07,21:05,21:04
90,17:13,21:22,21:22
91,17:19,21:39,21:39
92,17:25,21:57,21:57
93,17:31,22:14,22:14
94,17:37,22:32,22:32
95,17:43,,
96,17:51,,
97,18:02,,
98,18:13,,
99,18:23,,
100,18:34,,
101,18:47,,
102,19:01,,
103,19:16,,
104,19:32,,
105,19:47,,
106,20:03,,
107,20:16,,
108,20:29,,
109,20:42,,
110,20:55,,
111,21:09,,
112,21:22,,
113,21:35,,
114,21:48,,
115,22:01,,
116,22:14,,
117,22:27,,
