,Luni - Vineri,Sambata,Duminica
0,5:44,6:06,6:06
1,6:07,6:26,6:26
2,6:23,6:46,6:46
3,6:39,6:55,6:55
4,6:47,7:05,7:05
5,6:55,7:15,7:15
6,7:02,7:25,7:25
7,7:10,7:35,7:35
8,7:18,7:44,7:44
9,7:26,7:54,7:54
10,7:34,8:04,8:04
11,7:42,8:14,8:14
12,7:50,8:24,8:24
13,7:57,8:33,8:33
14,8:05,8:43,8:43
15,8:13,8:53,8:53
16,8:21,9:03,9:03
17,8:29,9:13,9:13
18,8:37,9:34,9:34
19,8:45,9:56,9:56
20,8:52,10:17,10:17
21,9:00,10:38,10:38
22,9:16,10:59,10:59
23,9:32,11:10,11:10
24,9:47,11:20,11:20
25,10:03,11:31,11:31
26,10:11,11:41,11:41
27,10:25,11:52,11:52
28,10:36,12:03,12:03
29,10:47,12:13,12:13
30,10:58,12:24,12:24
31,11:20,12:34,12:34
32,11:31,12:45,12:45
33,11:42,12:56,12:56
34,11:53,13:06,13:06
35,12:04,13:17,13:17
36,12:15,13:27,13:27
37,12:26,13:38,13:38
38,12:37,13:49,13:49
39,12:48,13:59,13:59
40,12:59,14:10,14:10
41,13:10,14:20,14:20
42,13:21,14:42,14:42
43,13:32,15:03,15:03
44,13:43,15:24,15:24
45,13:54,15:35,15:35
46,14:05,15:45,15:45
47,14:18,15:56,15:56
48,14:38,16:06,16:06
49,14:51,16:17,16:17
50,15:04,16:28,16:28
51,15:16,16:38,16:38
52,15:26,16:49,16:49
53,15:35,16:59,16:59
54,15:45,17:10,17:10
55,15:59,17:21,17:21
56,16:07,17:31,17:31
57,16:15,17:42,17:42
58,16:23,17:52,17:52
59,16:32,18:06,18:06
60,16:40,18:24,18:24
61,16:48,18:43,18:43
62,16:56,19:01,19:01
63,17:04,19:20,19:20
64,17:12,19:37,19:37
65,17:20,19:54,19:54
66,17:29,20:18,20:18
67,17:37,20:42,20:42
68,17:45,21:06,21:06
69,17:53,21:30,21:30
70,18:01,21:54,21:54
71,18:09,22:18,22:18
72,18:17,,
73,18:26,,
74,18:34,,
75,18:44,,
76,18:56,,
77,19:06,,
78,19:16,,
79,19:29,,
80,19:39,,
81,19:50,,
82,20:16,,
83,20:40,,
84,21:04,,
85,21:28,,
86,21:52,,
87,22:16,,
