,Luni - Vineri,Sambata,Duminica
0,6:10,6:30,6:30
1,6:33,6:50,6:50
2,6:49,7:10,7:10
3,7:05,7:19,7:19
4,7:13,7:29,7:29
5,7:21,7:39,7:39
6,7:28,7:49,7:49
7,7:36,7:59,7:59
8,7:44,8:08,8:08
9,7:52,8:18,8:18
10,8:00,8:28,8:28
11,8:08,8:38,8:38
12,8:16,8:48,8:48
13,8:23,8:57,8:57
14,8:31,9:07,9:07
15,8:39,9:19,9:19
16,8:47,9:29,9:29
17,8:55,9:39,9:39
18,9:03,10:00,10:00
19,9:11,10:22,10:22
20,9:18,10:43,10:43
21,9:26,11:04,11:04
22,9:42,11:25,11:25
23,9:58,11:36,11:36
24,10:13,11:46,11:46
25,10:29,11:57,11:57
26,10:37,12:07,12:07
27,10:51,12:18,12:18
28,11:02,12:29,12:29
29,11:13,12:39,12:39
30,11:24,12:50,12:50
31,11:46,13:00,13:00
32,11:57,13:11,13:11
33,12:08,13:22,13:22
34,12:19,13:32,13:32
35,12:30,13:43,13:43
36,12:41,13:53,13:53
37,12:52,14:04,14:04
38,13:03,14:15,14:15
39,13:14,14:25,14:25
40,13:25,14:36,14:36
41,13:36,14:46,14:46
42,13:47,15:08,15:08
43,13:58,15:29,15:29
44,14:09,15:50,15:50
45,14:20,16:01,16:01
46,14:31,16:11,16:11
47,14:44,16:22,16:22
48,15:04,16:32,16:32
49,15:17,16:43,16:43
50,15:30,16:54,16:54
51,15:42,17:04,17:04
52,15:52,17:15,17:15
53,16:01,17:25,17:25
54,16:11,17:36,17:36
55,16:25,17:47,17:47
56,16:33,17:57,17:57
57,16:41,18:08,18:08
58,16:49,18:18,18:18
59,16:58,18:32,18:32
60,17:06,18:50,18:50
61,17:14,19:09,19:09
62,17:22,19:27,19:27
63,17:30,19:46,19:46
64,17:38,20:03,20:03
65,17:46,20:18,20:18
66,17:55,20:41,20:41
67,18:03,21:05,21:05
68,18:11,21:29,21:29
69,18:19,21:53,21:53
70,18:27,22:17,22:17
71,18:35,22:41,22:41
72,18:43,,
73,18:52,,
74,19:00,,
75,19:10,,
76,19:22,,
77,19:32,,
78,19:42,,
79,19:55,,
80,20:05,,
81,20:15,,
82,20:39,,
83,21:03,,
84,21:27,,
85,21:51,,
86,22:15,,
87,22:39,,
