,Luni - Vineri,Sambata,Duminica
0,5:58,6:00,6:00
1,6:13,6:22,6:22
2,6:27,6:44,6:44
3,6:39,7:00,7:00
4,6:45,7:16,7:16
5,6:52,7:28,7:28
6,6:58,7:38,7:38
7,7:04,7:48,7:48
8,7:09,7:58,7:58
9,7:14,8:08,8:08
10,7:19,8:18,8:18
11,7:26,8:27,8:27
12,7:33,8:36,8:36
13,7:40,8:45,8:45
14,7:45,8:54,8:54
15,7:50,9:04,9:04
16,7:55,9:15,9:15
17,8:00,9:26,9:26
18,8:07,9:36,9:36
19,8:14,9:46,9:46
20,8:21,10:04,10:04
21,8:27,10:24,10:24
22,8:34,10:45,10:45
23,8:41,10:55,10:55
24,8:46,11:05,11:05
25,8:51,11:15,11:15
26,8:56,11:25,11:25
27,9:01,11:35,11:35
28,9:08,11:55,11:55
29,9:15,12:15,12:15
30,9:22,12:36,12:36
31,9:27,12:46,12:46
32,9:32,12:56,12:56
33,9:37,13:06,13:06
34,9:42,13:16,13:16
35,9:56,13:26,13:26
36,10:09,13:36,13:36
37,10:23,13:46,13:46
38,10:37,13:56,13:56
39,10:51,14:06,14:06
40,11:05,14:17,14:17
41,11:16,14:27,14:27
42,11:25,14:37,14:37
43,11:34,14:47,14:47
44,11:42,14:57,14:57
45,11:51,15:07,15:07
46,11:59,15:17,15:17
47,12:08,15:27,15:27
48,12:17,15:37,15:37
49,12:25,15:47,15:47
50,12:33,15:58,15:58
51,12:41,16:18,16:18
52,12:49,16:38,16:38
53,12:58,16:58,16:58
54,13:07,17:08,17:08
55,13:16,17:18,17:18
56,13:24,17:28,17:28
57,13:33,17:39,17:39
58,13:41,17:49,17:49
59,13:50,17:59,17:59
60,13:59,18:09,18:09
61,14:07,18:19,18:19
62,14:15,18:29,18:29
63,14:24,18:39,18:39
64,14:35,18:49,18:49
65,14:49,18:59,18:59
66,15:08,19:09,19:09
67,15:24,19:30,19:30
68,15:36,19:50,19:50
69,15:43,20:09,20:09
70,15:57,20:20,20:20
71,16:04,20:39,20:39
72,16:11,20:58,20:58
73,16:18,21:17,21:17
74,16:25,21:36,21:36
75,16:31,21:55,21:55
76,16:38,22:14,22:14
77,16:45,22:33,22:33
78,16:52,22:52,22:52
79,16:59,23:11,23:11
80,17:06,,
81,17:13,,
82,17:20,,
83,17:27,,
84,17:32,,
85,17:41,,
86,17:48,,
87,17:55,,
88,18:02,,
89,18:11,,
90,18:21,,
91,18:31,,
92,18:41,,
93,18:50,,
94,18:59,,
95,19:14,,
96,19:30,,
97,19:46,,
98,20:03,,
99,20:19,,
100,20:35,,
101,20:51,,
102,21:07,,
103,21:23,,
104,21:38,,
105,21:54,,
106,22:10,,
107,22:26,,
108,22:42,,
109,22:58,,
110,23:13,,
