,Luni - Vineri,Sambata,Duminica
0,6:02,6:21,6:21
1,6:16,6:46,6:46
2,6:28,7:11,7:11
3,6:39,7:35,7:35
4,6:53,7:48,7:48
5,7:00,8:00,8:00
6,7:07,8:12,8:12
7,7:14,8:25,8:25
8,7:21,8:37,8:37
9,7:28,8:49,8:49
10,7:35,9:02,9:02
11,7:41,9:14,9:14
12,7:47,9:26,9:26
13,7:52,9:53,9:53
14,7:56,10:20,10:20
15,8:04,10:42,10:42
16,8:08,11:08,11:08
17,8:12,11:34,11:34
18,8:19,11:47,11:47
19,8:26,12:00,12:00
20,8:33,12:13,12:13
21,8:40,12:26,12:26
22,8:47,12:39,12:39
23,8:54,12:52,12:52
24,9:00,13:05,13:05
25,9:06,13:18,13:18
26,9:11,13:31,13:31
27,9:16,13:44,13:44
28,9:21,13:57,13:57
29,9:27,14:23,14:23
30,9:39,14:49,14:49
31,9:52,15:15,15:15
32,10:05,15:28,15:28
33,10:17,15:54,15:54
34,10:28,16:20,16:20
35,10:39,16:46,16:46
36,10:50,16:59,16:59
37,11:01,17:12,17:12
38,11:12,17:25,17:25
39,11:22,17:38,17:38
40,11:31,17:51,17:51
41,11:40,18:04,18:04
42,11:49,18:17,18:17
43,11:58,18:30,18:30
44,12:07,18:43,18:43
45,12:15,18:56,18:56
46,12:23,19:09,19:09
47,12:32,19:35,19:35
48,12:41,20:01,20:01
49,12:50,,
50,12:59,,
51,13:08,,
52,13:17,,
53,13:26,,
54,13:34,,
55,13:42,,
56,13:51,,
57,14:00,,
58,14:09,,
59,14:21,,
60,14:36,,
61,14:50,,
62,15:05,,
63,15:20,,
64,15:27,,
65,15:35,,
66,15:43,,
67,15:53,,
68,15:59,,
69,16:05,,
70,16:12,,
71,16:19,,
72,16:27,,
73,16:34,,
74,16:42,,
75,16:49,,
76,16:57,,
77,17:03,,
78,17:09,,
79,17:15,,
80,17:21,,
81,17:27,,
82,17:34,,
83,17:41,,
84,17:49,,
85,17:56,,
86,18:04,,
87,18:11,,
88,18:19,,
89,18:25,,
90,18:31,,
91,18:37,,
92,18:49,,
93,19:02,,
94,19:16,,
95,19:28,,
96,19:41,,
97,19:55,,
98,20:10,,
99,20:26,,
100,20:44,,
101,21:02,,
102,21:21,,
103,21:39,,
104,21:57,,
105,22:15,,
