,Luni - Vineri,Sambata,Duminica
0,5:30,6:00,6:00
1,5:58,7:02,7:02
2,6:27,7:34,7:34
3,6:45,8:05,8:05
4,6:55,8:36,8:36
5,7:05,9:08,9:08
6,7:15,9:40,9:40
7,7:35,10:15,10:15
8,8:04,11:25,11:25
9,8:22,11:58,11:58
10,8:32,12:31,12:31
11,8:46,13:05,13:05
12,9:01,13:38,13:38
13,9:21,14:11,14:11
14,9:41,14:45,14:45
15,10:00,15:18,15:18
16,10:18,15:51,15:51
17,10:42,16:25,16:25
18,11:17,17:31,17:31
19,12:07,18:05,18:05
20,12:32,18:38,18:38
21,12:58,19:11,19:11
22,13:23,19:45,19:45
23,13:48,20:16,20:16
24,14:13,21:13,21:13
25,14:40,22:05,22:05
26,15:07,,
27,15:33,,
28,15:59,,
29,16:26,,
30,16:43,,
31,17:01,,
32,17:19,,
33,17:37,,
34,17:54,,
35,18:12,,
36,18:29,,
37,18:47,,
38,19:05,,
39,19:23,,
40,19:40,,
41,20:16,,
42,20:51,,
43,21:36,,
44,22:20,,
