,Luni - Vineri,Sambata,Duminica
0,6:02,6:32,6:32
1,6:26,7:01,7:01
2,6:50,7:30,7:30
3,7:14,7:58,7:58
4,7:37,8:27,8:27
5,8:01,8:56,8:56
6,8:25,9:54,9:54
7,8:49,10:23,10:23
8,9:36,11:22,11:22
9,9:49,11:51,11:51
10,10:36,12:21,12:21
11,11:24,12:50,12:50
12,12:11,13:49,13:49
13,12:59,14:19,14:19
14,13:46,15:18,15:18
15,14:35,15:47,15:47
16,15:25,16:17,16:17
17,16:14,16:46,16:46
18,16:39,17:15,17:15
19,17:04,17:45,17:45
20,17:29,18:14,18:14
21,17:53,18:43,18:43
22,18:18,19:13,19:13
23,19:08,19:42,19:42
24,19:32,,
25,20:17,,
26,20:59,,
27,21:41,,
28,22:23,,
