,Luni - Vineri,Sambata,Duminica
0,6:00,6:02,6:02
1,6:19,6:24,6:24
2,6:38,6:46,6:46
3,6:57,7:08,7:08
4,7:16,7:29,7:29
5,7:36,7:51,7:51
6,7:55,8:13,8:13
7,8:14,8:35,8:35
8,8:33,8:58,8:58
9,8:52,9:48,9:48
10,9:31,10:13,10:13
11,9:51,10:37,10:37
12,10:29,11:00,11:00
13,10:48,11:24,11:24
14,11:07,11:47,11:47
15,11:27,12:11,12:11
16,11:46,12:34,12:34
17,12:05,12:58,12:58
18,12:24,13:21,13:21
19,12:43,13:45,13:45
20,13:03,14:08,14:08
21,13:22,14:32,14:32
22,13:41,14:55,14:55
23,14:01,15:19,15:19
24,14:21,15:42,15:42
25,14:43,16:06,16:06
26,15:03,16:29,16:29
27,15:24,16:53,16:53
28,15:44,17:16,17:16
29,16:04,17:41,17:41
30,16:24,18:06,18:06
31,16:44,18:56,18:56
32,17:05,19:20,19:20
33,17:25,19:44,19:44
34,17:47,20:08,20:08
35,18:23,20:29,20:29
36,18:48,20:52,20:52
37,19:06,21:13,21:13
38,19:31,21:35,21:35
39,19:56,21:56,21:56
40,20:18,22:19,22:19
41,20:40,22:40,22:40
42,21:01,23:02,23:02
43,21:23,23:46,23:46
44,21:45,,
45,22:07,,
46,22:28,,
47,22:50,,
48,23:34,,
