service_id,exception_type,date
2234,1,20200620
2234,1,20200704
2234,1,20200718
2234,2,20200827
2234,2,20200828
2234,2,20200831
2234,2,20210101
2234,2,20210107
2234,2,20210108
2234,2,20210308
2234,2,20211014
2235,1,20200827
2235,1,20200828
2235,1,20200831
2235,1,20210101
2235,1,20210107
2235,1,20210108
2235,1,20210308
2235,1,20211014
2235,1,20220107
2235,2,20200620
2235,2,20200704
2235,2,20200718
2235,2,20210501
2235,2,20220101
2235,2,20220102
2358,2,20200704
2358,2,20200718
2358,2,20200829
2358,2,20210102
2358,2,20210109
2359,1,20200827
2359,1,20200828
2359,1,20200829
2359,1,20200831
2359,1,20210101
2359,1,20210102
2359,1,20210107
2359,1,20210108
2359,1,20210109
2359,1,20210308
2359,1,20210501
2359,1,20210503
2359,1,20210510
2359,1,20211014
2359,1,20211225
2359,1,20220101
2359,1,20220107
2359,1,20220108
2359,1,20220308
2533,2,20200827
2533,2,20200828
2533,2,20200829
2533,2,20200831
2533,2,20210308
2696,1,20200620
2696,1,20200701
2696,1,20200702
2696,1,20200703
2696,1,20200704
2696,1,20200706
2696,1,20200707
2696,1,20200708
2696,1,20200709
2696,1,20200710
2696,1,20200713
2696,1,20200714
2696,1,20200715
2696,1,20200716
2696,1,20200717
2696,1,20200718
2696,1,20200720
2696,1,20200721
2696,1,20200722
2696,1,20200723
2696,1,20200724
2696,1,20200727
2696,1,20200728
2696,1,20200729
2696,1,20200730
2696,1,20200731
2696,1,20200803
2696,1,20200804
2696,1,20200805
2696,1,20200806
2696,1,20200807
2696,1,20200810
2696,1,20200811
2696,1,20200812
2696,1,20200813
2696,1,20200814
2696,1,20200817
2696,1,20200818
2696,1,20200819
2696,1,20200820
2696,1,20200821
2696,1,20200824
2696,1,20200825
2696,1,20200826
2696,1,20201228
2696,1,20201229
2696,1,20201230
2696,1,20201231
2696,1,20210601
2696,1,20210602
2696,1,20210603
2696,1,20210604
