stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id,level_id,stop_timezone,platform_code,wheelchair_boarding,stop_code,stop_url,stop_desc
265815,bd. Cuza Vodă 15,46.981537,28.860008,,,,,,,,,,
265816,Bd. Traian,46.985424,28.858055,,,,,,,,,,
265820,bd. Dimitrie Cantemir,47.018917,28.851656,,,,,,,,,,
265822,bd. Grigore Vieru,47.028778,28.838890,,,,,,,,,,
265823,bd. Mircea cel Bătrân,47.037320,28.889957,,,,,,,,,,
265824,str. Igori Vieru,47.050770,28.888777,,,,,,,,,,
265829,str. Puskin,47.024350,28.834955,,,,,,,,,,
265870,Hotel Cosmos (Bd. Constantin Negruzzi),47.013670,28.853846,,,,,,,,,,
265876,str. Ismail (Bd. Ștefan cel Mare și Sfânt),47.015260,28.844889,,,,,,,,,,
265889,str. Varnita,46.985367,28.905664,,,,,,,,,,
265890,str. Varnita,46.985410,28.906230,,,,,,,,,,
265918,Centrul civic,47.047450,28.897726,,,,,,,,,,
265919,str. Mihail Sadoveanu 22 (La cerinta),47.046670,28.883558,,,,,,,,,,
265920,str. Mihail Sadoveanu 22,47.046696,28.883457,,,,,,,,,,
265925,"Centrul Comercial ""Supraten""",47.020676,28.888428,,,,,,,,,,
265930,CET-2 (Termoelectrica),47.027860,28.889196,,,,,,,,,,
265931,CET-2 (Termoelectrica),47.029580,28.888300,,,,,,,,,,
265944,"str. Doina (Cimitirul ""Sf. Lazăr"")",47.068825,28.832300,,,,,,,,,,
265945,"str. Doina (Cimitirul ""Sf. Lazăr"")",47.068620,28.832165,,,,,,,,,,
265950,Piata Marii Adunari Nationale,47.026330,28.829662,,,,,,,,,,
265955,Circ,47.036636,28.849722,,,,,,,,,,
265956,Circul,47.036030,28.849400,,,,,,,,,,
265973,"Combinatul de Panificație ""Franzeluța""",46.982600,28.877298,,,,,,,,,,
265987,Bd. Cuza-Voda (str. Grenoblea),46.973793,28.848469,,,,,,,,,,
265990,"Cuza Vodă, 24",46.979942,28.857193,,,,,,,,,,
266022,Drumul spre Aerogara,46.948740,28.931679,,,,,,,,,,
266023,Drumul spre Aerogara,46.948986,28.931820,,,,,,,,,,
266067,Gara Feroviara,47.011080,28.858204,,,,,,,,,,
266068,Gara Feroviara,47.011130,28.858677,,,,,,,,,,
266095,Grădina Publică,47.024437,28.829160,,,,,,,,,,
266096,Grădina Zoologică,46.974453,28.867746,,,,,,,,,,
266097,Grădina Zoologică,46.974630,28.867440,,,,,,,,,,
266105,Centru Hidrotehnica,47.007523,28.860092,,,,,,,,,,
266109,Hotel Cosmos,47.014590,28.854883,,,,,,,,,,
266114,Hristo Botev,46.993150,28.847248,,,,,,,,,,
266172,Magazin Stroma,46.989330,28.908253,,,,,,,,,,
266177,str. Bucovinei (Megapolis Mall),47.068607,28.888050,,,,,,,,,,
266183,Metro 2 (Institutul de Protectie a Plantelor),46.964250,28.890469,,,,,,,,,,
266184,Metro 2  (Institutul de Protectie a Plantelor),46.964973,28.890148,,,,,,,,,,
266246,Otovasca,47.006966,28.893310,,,,,,,,,,
266247,Otovasca,47.008060,28.892488,,,,,,,,,,
266252,bd. Decebal,47.008263,28.859884,,,,,,,,,,
266258,Parcul de Autobuze nr.2,46.980210,28.882565,,,,,,,,,,
266259,Parcul de Autobuze nr.2,46.979490,28.883158,,,,,,,,,,
266262,Parcul de Troleibuze nr.3,47.024800,28.887735,,,,,,,,,,
266263,Parcul de Troleibuze nr.3,47.024624,28.888811,,,,,,,,,,
266285,str. Ion Pelivan,47.028720,28.789156,,,,,,,,,,
266292,Piața Decebal,46.996910,28.859467,,,,,,,,,,
266302,Piața Mării Adunări Naționale,47.023148,28.834812,,,,,,,,,,
266305,Piața Ovidiu,47.010650,28.842861,,,,,,,,,,
266312,Piața Unirii Principatelor,47.027992,28.791079,,,,,,,,,,
266360,Pretura sectorului Ciocana,47.040630,28.890406,,,,,,,,,,
266421,str. Valea Crucii,46.972523,28.854360,,,,,,,,,,
266422,str. Valea Crucii (str. Grenoblea),46.972700,28.854294,,,,,,,,,,
266443,str. Ceucari,47.061710,28.844883,,,,,,,,,,
266456,Spitalul Clinic Municipal nr.1,47.005398,28.841747,,,,,,,,,,
266457,Spitalul Clinic Municipal nr.1,47.004997,28.842094,,,,,,,,,,
266507,str. Profesor Ion Dominiuc,47.056190,28.891556,,,,,,,,,,
266508,"Magazinul ""Stroma""",46.989980,28.908644,,,,,,,,,,
266514,str. 31 August 1989,47.022510,28.829546,,,,,,,,,,
266518,str. A. Pușkin,47.031510,28.849356,,,,,,,,,,
266523,str. Bogdan Voevod,47.043220,28.860750,,,,,,,,,,
266524,bd. Moscova,47.045480,28.862074,,,,,,,,,,
266525,str. Alecu Russo,47.044130,28.862633,,,,,,,,,,
266526,str. Alecu Russo,47.037220,28.887358,,,,,,,,,,
266527,str. Alecu Russo,47.042100,28.868080,,,,,,,,,,
266532,str. Armenească,47.020350,28.839020,,,,,,,,,,
266533,str. Armenească,47.019577,28.839725,,,,,,,,,,
266535,str. Bacioii Noi,46.950320,28.913393,,,,,,,,,,
266546,Str. Burebista,46.979176,28.867577,,,,,,,,,,
266547,str. Burebista (Franzeluta),46.982840,28.878542,,,,,,,,,,
266548,"Uzina ,,Giuvaer""",46.990776,28.867690,,,,,,,,,,
266557,str. Ciuflea,47.013527,28.847155,,,,,,,,,,
266558,str. Ciuflea,47.012432,28.845959,,,,,,,,,,
266561,str. Columna,47.027450,28.833542,,,,,,,,,,
266572,str. Cucorilor,47.061165,28.842087,,,,,,,,,,
266573,str. Cucorilor,47.061130,28.840473,,,,,,,,,,
266578,Str. Doina şi Ion Aldea-Teodorovici,47.028294,28.796206,,,,,,,,,,
266584,str. Eugen Doga,47.029476,28.839087,,,,,,,,,,
266585,str. Florilor,47.059960,28.863417,,,,,,,,,,
266587,str. Florilor,47.060210,28.863089,,,,,,,,,,
266599,str. Ginta Latină,47.037890,28.889343,,,,,,,,,,
266601,Bd. Cuza-Voda,46.974620,28.849503,,,,,,,,,,
266612,str. Mihail Sadoveanu,47.049454,28.883389,,,,,,,,,,
266613,str. Igor Vieru,47.051735,28.897655,,,,,,,,,,
266614,str. Igor Vieru,47.051857,28.897905,,,,,,,,,,
266615,Str. Igor Vieru,47.051790,28.890932,,,,,,,,,,
266616,str. Independenţei,46.978786,28.855776,,,,,,,,,,
266617,str. Independenţei,46.977818,28.853994,,,,,,,,,,
266619,Str. Independenței,46.979240,28.866598,,,,,,,,,,
266621,"Asociatia ""MACON""",46.994995,28.905794,,,,,,,,,,
266622,"Asociatia ""MACON""",46.994790,28.905663,,,,,,,,,,
266623,str. Ion Creangă,47.028160,28.796343,,,,,,,,,,
266628,str. Ion Dumeniuc,47.056137,28.890846,,,,,,,,,,
266630,str. Ion Dumeniuc,47.055485,28.897840,,,,,,,,,,
266631,str. Ion Dumeniuc,47.055832,28.897448,,,,,,,,,,
266632,str. Ion Pelivan,47.029617,28.787960,,,,,,,,,,
266633,str. Ismail,47.021202,28.856083,,,,,,,,,,
266636,str. Ismail,47.020535,28.855782,,,,,,,,,,
266638,str. Kiev,47.040226,28.859957,,,,,,,,,,
266639,str. Kiev,47.039707,28.859352,,,,,,,,,,
266640,str. Kiev,47.038830,28.858095,,,,,,,,,,
266642,str. Liviu Deleanu,47.038190,28.769894,,,,,,,,,,
266643,str. Liviu Deleanu,47.039467,28.767773,,,,,,,,,,
266646,str. Matei Basarab,47.054924,28.865116,,,,,,,,,,
266647,str. Matei Basarab,47.055470,28.865856,,,,,,,,,,
266648,str. Matei Basarab,47.053345,28.872515,,,,,,,,,,
266654,str. Mihai Sadoveanu 28,47.049360,28.883661,,,,,,,,,,
266656,str. Petru Zadnipru 3,47.044110,28.884308,,,,,,,,,,
266657,str. Mihail Sadoveanu,47.038130,28.884579,,,,,,,,,,
266658,str. Mihail Sadoveanu,47.038410,28.884703,,,,,,,,,,
266659,str. Padurilor,46.997120,28.861330,,,,,,,,,,
266663,str. Miron Costin,47.050022,28.863700,,,,,,,,,,
266664,str. Miron Costin,47.049130,28.863022,,,,,,,,,,
266665,str. Miron Costin,47.047980,28.870220,,,,,,,,,,
