route_id,service_id,shape_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed
10,WORKWEEK,,10-0-back-129,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_129,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-13,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_13,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-130,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_130,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-131,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_131,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-132,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_132,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-133,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_133,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-134,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_134,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-135,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_135,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-136,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_136,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-137,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_137,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-138,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_138,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-139,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_139,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-14,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_14,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-140,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_140,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-141,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_141,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-142,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_142,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-143,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_143,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-144,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_144,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-145,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_145,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-146,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_146,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-147,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_147,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-148,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_148,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-149,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_149,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-15,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_15,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-150,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_150,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-151,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_151,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-152,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_152,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-153,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_153,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-154,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_154,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-155,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_155,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-156,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_156,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-157,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_157,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-158,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_158,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-159,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_159,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-16,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_16,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-160,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_160,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-161,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_161,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-162,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_162,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-163,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_163,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-164,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_164,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-165,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_165,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-166,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_166,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-167,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_167,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-168,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_168,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-169,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_169,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-17,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_17,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-170,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_170,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-171,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_171,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-172,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_172,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-173,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_173,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-174,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_174,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-175,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_175,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-176,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_176,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-177,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_177,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-178,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_178,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-179,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_179,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-18,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_18,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-180,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_180,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-181,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_181,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-182,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_182,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-183,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_183,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-184,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_184,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-185,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_185,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-186,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_186,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-187,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_187,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-188,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_188,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-189,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_189,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-19,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_19,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-190,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_190,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-191,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_191,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-192,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_192,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-193,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_193,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-194,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_194,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-195,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_195,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-196,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_196,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-197,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_197,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-198,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_198,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-199,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_199,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-2,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_2,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-20,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_20,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-200,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_200,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-201,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_201,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-202,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_202,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-203,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_203,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-204,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_204,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-205,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_205,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-206,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_206,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-207,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_207,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-208,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_208,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-209,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_209,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-21,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_21,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-210,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_210,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-211,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_211,,bd. Moscova - str. Miorița,0,,,
10,WORKWEEK,,10-0-back-212,,bd. Moscova - str. Miorița,1,,,
10,WORKWEEK,,10_0_back_212,,bd. Moscova - str. Miorița,0,,,
